timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674571644710,448,/get_method,200,OK,Step load of  250 users 1-2,text,true,,168,150,5,5,http://162.55.220.72:5005/get_method?name=Ilia&age=29,445,0,221
1674571644660,498,/get_method,200,OK,Step load of  250 users 1-1,text,true,,168,150,5,5,http://162.55.220.72:5005/get_method?name=Ilia&age=29,494,0,252
1674571644828,428,/get_method,200,OK,Step load of  250 users 1-3,text,true,,168,150,6,6,http://162.55.220.72:5005/get_method?name=Ilia&age=29,428,0,215
1674571644946,442,/get_method,200,OK,Step load of  250 users 1-4,text,true,,168,150,7,7,http://162.55.220.72:5005/get_method?name=Ilia&age=29,441,0,228
1674571645073,430,/get_method,200,OK,Step load of  250 users 1-5,text,true,,168,150,8,8,http://162.55.220.72:5005/get_method?name=Ilia&age=29,429,0,219
1674571645179,460,/user_info_2,200,OK,Step load of  250 users 1-2,text,true,,470,248,9,9,http://162.55.220.72:5005/user_info_2,459,0,224
1674571645179,460,/user_info_2,200,OK,Step load of  250 users 1-1,text,true,,470,248,9,9,http://162.55.220.72:5005/user_info_2,459,0,224
1674571645192,447,/get_method,200,OK,Step load of  250 users 1-6,text,true,,168,150,9,9,http://162.55.220.72:5005/get_method?name=Ilia&age=29,446,0,211
1674571645260,446,/user_info_2,200,OK,Step load of  250 users 1-3,text,true,,470,248,10,10,http://162.55.220.72:5005/user_info_2,446,0,233
1674571645318,432,/get_method,200,OK,Step load of  250 users 1-7,text,true,,168,150,10,10,http://162.55.220.72:5005/get_method?name=Ilia&age=29,432,0,224
1674571645390,422,/user_info_2,200,OK,Step load of  250 users 1-4,text,true,,470,248,11,11,http://162.55.220.72:5005/user_info_2,422,0,213
1674571645431,412,/get_method,200,OK,Step load of  250 users 1-8,text,true,,168,150,11,11,http://162.55.220.72:5005/get_method?name=Ilia&age=29,412,0,205
1674571645510,433,/user_info_2,200,OK,Step load of  250 users 1-5,text,true,,470,248,12,12,http://162.55.220.72:5005/user_info_2,432,0,222
1674571645555,414,/get_method,200,OK,Step load of  250 users 1-9,text,true,,168,150,12,12,http://162.55.220.72:5005/get_method?name=Ilia&age=29,414,0,207
1674571645645,438,/user_info_3,200,OK,Step load of  250 users 1-1,text,true,,371,248,13,13,http://162.55.220.72:5005/user_info_3,438,0,228
1674571645645,440,/user_info_3,200,OK,Step load of  250 users 1-2,text,true,,371,248,13,13,http://162.55.220.72:5005/user_info_3,440,0,228
1674571645664,419,/get_method,200,OK,Step load of  250 users 1-10,text,true,,168,150,13,13,http://162.55.220.72:5005/get_method?name=Ilia&age=29,419,0,209
1674571645645,452,/user_info_2,200,OK,Step load of  250 users 1-6,text,true,,470,248,13,13,http://162.55.220.72:5005/user_info_2,452,0,208
1674571645719,427,/user_info_3,200,OK,Step load of  250 users 1-3,text,true,,371,248,13,13,http://162.55.220.72:5005/user_info_3,427,0,222
1674571645751,427,/user_info_2,200,OK,Step load of  250 users 1-7,text,true,,470,248,14,14,http://162.55.220.72:5005/user_info_2,427,0,218
1674571645788,442,/get_method,200,OK,Step load of  250 users 1-11,text,true,,168,150,14,14,http://162.55.220.72:5005/get_method?name=Ilia&age=29,442,0,215
1674571645812,426,/user_info_3,200,OK,Step load of  250 users 1-4,text,true,,371,248,14,14,http://162.55.220.72:5005/user_info_3,426,0,221
1674571645843,425,/user_info_2,200,OK,Step load of  250 users 1-8,text,true,,470,248,15,15,http://162.55.220.72:5005/user_info_2,425,0,216
1674571645906,422,/get_method,200,OK,Step load of  250 users 1-12,text,true,,168,150,15,15,http://162.55.220.72:5005/get_method?name=Ilia&age=29,422,0,217
1674571645943,413,/user_info_3,200,OK,Step load of  250 users 1-5,text,true,,371,248,15,15,http://162.55.220.72:5005/user_info_3,413,0,203
1674571645970,420,/user_info_2,200,OK,Step load of  250 users 1-9,text,true,,470,248,16,16,http://162.55.220.72:5005/user_info_2,419,0,208
1674571646099,434,/user_info_3,200,OK,Step load of  250 users 1-6,text,true,,371,248,17,17,http://162.55.220.72:5005/user_info_3,434,0,205
1674571646099,443,/user_info_2,200,OK,Step load of  250 users 1-10,text,true,,470,248,17,17,http://162.55.220.72:5005/user_info_2,443,0,205
1674571646083,459,/object_info_1,200,OK,Step load of  250 users 1-1,text,true,,230,163,17,17,http://162.55.220.72:5005/object_info_1?name=Ilia&age=29&weight=67,459,0,221
1674571646098,446,/object_info_1,200,OK,Step load of  250 users 1-2,text,true,,230,163,17,17,http://162.55.220.72:5005/object_info_1?name=Ilia&age=29&weight=67,446,0,225
1674571646101,451,/get_method,200,OK,Step load of  250 users 1-13,text,true,,168,150,17,17,http://162.55.220.72:5005/get_method?name=Ilia&age=29,450,0,222
1674571646151,413,/get_method,200,OK,Step load of  250 users 1-14,text,true,,168,150,17,17,http://162.55.220.72:5005/get_method?name=Ilia&age=29,413,0,205
1674571646150,422,/object_info_1,200,OK,Step load of  250 users 1-3,text,true,,230,163,17,17,http://162.55.220.72:5005/object_info_1?name=Ilia&age=29&weight=67,422,0,213
1674571646179,418,/user_info_3,200,OK,Step load of  250 users 1-7,text,true,,371,248,17,17,http://162.55.220.72:5005/user_info_3,418,0,210
1674571646238,436,/object_info_1,200,OK,Step load of  250 users 1-4,text,true,,230,163,18,18,http://162.55.220.72:5005/object_info_1?name=Ilia&age=29&weight=67,435,0,225
1674571646230,443,/user_info_2,200,OK,Step load of  250 users 1-11,text,true,,470,248,18,18,http://162.55.220.72:5005/user_info_2,443,0,233
1674571646268,421,/user_info_3,200,OK,Step load of  250 users 1-8,text,true,,371,248,18,18,http://162.55.220.72:5005/user_info_3,421,0,215
